,Strategy_Hold,Strategy_Monthly,Strategy_Hold
2024-10-03,1.0597617139604973,1.037502512573858,1.037594203798537
2024-10-04,1.0751849375574718,1.0519116972469376,1.0406331679036103
2024-10-07,1.0567745106597186,1.0347320119674266,1.0336885997610297
2024-10-08,1.066223565882487,1.04376329275804,1.0402420725328465
2024-10-09,1.0624535125472714,1.0403240037869945,1.043548274891795
2024-10-10,1.0581903387086318,1.0362962846535646,1.0422647870328725
2024-10-11,1.0281274188078438,1.0080739571634587,1.0461432173456786
2024-10-14,1.03290868292984,1.0126928002738744,1.0511233800843012
2024-10-15,1.0320651947281148,1.0120284916620739,1.0476776641642818
2024-10-16,1.0367779793057765,1.0166542957926703,1.0510176692175897
2024-10-17,1.0344914789788322,1.0143645595736466,1.049103915442498
2024-10-18,1.035761023395617,1.01555756238718,1.0518054171604216
2024-10-21,1.0300472766427395,1.009871809252518,1.0480065701074817
2024-10-22,1.0286405039566213,1.0084771407714423,1.04782708905835
2024-10-23,1.0178979411312445,0.9979184553590401,1.0409351256694248
2024-10-24,1.0911965271568884,1.0720945802539534,1.042976918355482
2024-10-25,1.1037776829596369,1.0831896049928322,1.0419347539353272
2024-10-28,1.094201867572611,1.0749017266567142,1.04342639859824
2024-10-29,1.0904583191596497,1.0716948193679003,1.0447965570899285
2024-10-30,1.086027406354131,1.0675603663725353,1.042462905566285
2024-10-31,1.0671452484606916,1.0498968722256803,1.029806374831546
2024-11-01,1.0659963443156575,1.0488000704581133,1.030919104080025
2024-11-04,1.0571272200947814,1.0408233227498966,1.0311470006170969
2024-11-05,1.075411633955797,1.0581625138370463,1.039771007026826
2024-11-06,1.13850875188357,1.1160644914367908,1.0523726249546579
2024-11-07,1.1566725671035485,1.1325202667382015,1.0604005994870038
2024-11-08,1.1962679425751432,1.165788951325995,1.0640282445045743
2024-11-11,1.2402162634897902,1.2002315697209742,1.063891870739864
2024-11-12,1.2039963921970098,1.1719881402830834,1.059416253359067
2024-11-13,1.206727702219566,1.1740975381132364,1.0595730691837288
2024-11-14,1.1749748322897384,1.1488850728313058,1.0552072474717773
2024-11-15,1.1850504602918672,1.1558262119922695,1.046893577161841
2024-11-18,1.21454663868239,1.1794239796609949,1.049937650981933
2024-11-19,1.2276242390777785,1.1899916020670813,1.053033960160952
2024-11-20,1.2212793366469132,1.1851380462212606,1.0528166560911072
2024-11-21,1.2193747463382743,1.184280699128773,1.0561106466867571
2024-11-22,1.2405040086669992,1.2006841224915796,1.0583145319895468
2024-11-25,1.2233382269419126,1.1898770870969364,1.0642296828997804
2024-11-26,1.224111595238205,1.190822540334738,1.0669743707623227
2024-11-27,1.2156973653797947,1.1844384557836944,1.0660545758600724
2024-11-28,1.2156973653797947,1.1844384557836944,1.0660545758600724
2024-11-29,1.2380824415096994,1.2028970556974012,1.0716589100734975
2024-12-02,1.2572821865765804,1.2177096232100373,1.0730926484364536
2024-12-03,1.2479595979168625,1.2105129344951413,1.0724672707847482
2024-12-04,1.261421604395131,1.221870462184267,1.0779994123776286
2024-12-05,1.2786205035852438,1.234409819980092,1.0769461385007781
2024-12-06,1.3105726836543445,1.2582809930967906,1.0793214586133744
2024-12-09,1.3085125307880319,1.2554834264224406,1.0746415093740906
2024-12-10,1.3242034596739303,1.2657515378263335,1.0721176378563948
2024-12-11,1.3628910476907365,1.2931146889001253,1.0764019582726922
2024-12-12,1.3493813657199367,1.2824187681731087,1.0713368165750472
2024-12-13,1.3758449038407565,1.299171195377026,1.0696077867042955
2024-12-16,1.418979039379547,1.3280922384737663,1.0729075772964256
2024-12-17,1.443370196584499,1.3424301086968073,1.0701918680830205
2024-12-18,1.3685979190495352,1.288539364682149,1.047093676355868
2024-12-19,1.3614829062745373,1.283352992462287,1.0457933457072455
2024-12-20,1.3436010791520947,1.2749789301877743,1.0548064950267224
2024-12-23,1.359397192257339,1.2857994012388227,1.0574774542411332
2024-12-24,1.4126498494534327,1.3227114001309699,1.0653968815490642
2024-12-25,1.4126498494534327,1.3227114001309699,1.0653968815490642
2024-12-26,1.4003773811331968,1.315274461876375,1.0657175107593513
2024-12-27,1.3612379282226994,1.2880517024336167,1.0578497673942682
2024-12-30,1.3364277379441931,1.2706539058518254,1.0518447839692235
2024-12-31,1.3136952168643292,1.2546377804108806,1.0488024805051597
2025-01-01,1.3136952168643292,1.2546377804108806,1.0488024805051597
2025-01-02,1.2751926062525634,1.228350544459116,1.0473666616669233
2025-01-03,1.327190545620598,1.2665965669463328,1.0549990644442635
2025-01-06,1.3299128237084488,1.2692448259012796,1.0584047142877648
2025-01-07,1.2989505803629515,1.2458101889310744,1.0495401307148886
2025-01-08,1.3007415066260855,1.247492087869716,1.050938199657135
2025-01-09,1.3007415066260855,1.247492087869716,1.050938199657135
2025-01-10,1.293171317252379,1.238784308188903,1.0388866684544995
2025-01-13,1.306578096103807,1.2479835934037367,1.0395009767744052
2025-01-14,1.2966196486142167,1.241679712022553,1.0406667367062252
2025-01-15,1.354756729856739,1.2857903656345047,1.0555908098159419
2025-01-16,1.332562473716572,1.2713892517113592,1.055096015433686
2025-01-17,1.355814546086023,1.28874754274081,1.0618120547506777
2025-01-20,1.355814546086023,1.28874754274081,1.0618120547506777
2025-01-21,1.356425225856073,1.2914861601592724,1.0690546812665718
2025-01-22,1.344057020974398,1.2839153967413557,1.0719963092525115
2025-01-23,1.341399672574302,1.2827830119375097,1.075069947118982
2025-01-24,1.3320289303675261,1.2763533128255842,1.073863392521987
2025-01-27,1.313969418878689,1.2627116767781201,1.0663977762387071
2025-01-28,1.3184119837082797,1.2670919561248886,1.0719040552633103
2025-01-29,1.302735231746628,1.2554269654604004,1.0686694900467995
2025-01-30,1.322375539513667,1.2702754990133607,1.0728136022785721
